State,Budget (in crore rupees),FY,Reference
Andhra Pradesh,191064.00,2018-19,[1]
Arunachal Pradesh,19261.00,2018-19,[2]
Assam,90270.00,2018-19,
Bihar,176990.00,2018-19,
Chhattisgarh,83179.00,2018-19,
Goa,17123.00,2018-19,[3]
Gujarat,183666.00,2018-19,[4]
Haryana,115198.00,2018-19,[5]
Himachal Pradesh,41440.00,2018-19,[6]
Jammu and Kashmir,95666.00,2018-19,[7]
Jharkhand,80200.00,2018-19,[8]
Karnataka,209181.00,2018-19,[9]
Kerala,127023.00,2018-19,[10]
Madhya Pradesh,186865.00,2018-19,[11]
Maharashtra,367281.00,2018-19,[12]
Manipur,13731.00,2018-19,[13]
Meghalaya,,2018-19,
Mizoram,9492.00,2018-19,[14]
Nagaland,,2018-19,
Odisha,120028.00,2018-19,
Punjab,,2018-19,
Rajasthan,212000.00,2018-19,
Sikkim,7051.00,2018-19,[15]
Tamil Nadu,193742.00,2018-19,[16]
Telangana,174454.00,2018-19,[17]
Tripura,,2018-19,
Uttarakhand,,2018-19,
Uttar Pradesh,428000.00,2018-19,[18]
West Bengal,195829.00,2018-19,[19]
