S.No,State,2014,2015,2016,Percentage Share of State/UT (2016)[3],Rank Based on Incidence / % share (2016),Rate of Cognizable Crimes (2016),Rank Based on Crime Rate (2016)
1,Andhra Pradesh,114604,110693,106774,3.6,13,206.4,15
2,Arunachal Pradesh,2843,2968,2534,0.1,29,192.3,17
3,Assam,94337,103616,102250,3.4,14,313.9,5
4,Bihar,177595,176973,164163,5.5,9,157.4,22
5,Chhattisgarh,58200,56692,55029,1.8,17,211.7,14
6,Goa,4466,3074,2692,0.1,28,135.6,25
7,Gujarat,131385,126935,147122,4.9,11,233.2,11
8,Haryana,79947,84466,88527,3,15,320.6,4
9,Himachal Pradesh,14160,14007,13386,0.4,21,188.1,20
10,Jammu and Kashmir,23848,23583,24501,0.8,20,196.6,16
11,Jharkhand,45335,45050,40710,1.4,18,120.4,30
12,Karnataka,137338,138847,148402,15,10,237.2,10
13,Kerala,206789,257074,260097,8.7,4,727.6,2
14,Madhya Pradesh,272423,268614,264418,8.9,2,337.9,3
15,Maharashtra,249834,275414,261714,8.8,3,217.1,13
16,Manipur,3641,3847,3170,0.1,26,121.9,28
17,Meghalaya,3679,4079,3366,0.1,25,120.9,29
18,Mizoram,2140,2228,2425,0.1,30,227.3,12
19,Nagaland,1157,1302,1376,0,31,57.6,34
20,Odisha,74569,83360,81460,2.7,16,191.3,18
21,Punjab,37162,37983,40007,1.3,19,137,24
22,Rajasthan,210418,198080,180398,6.1,6,246.2,8
23,Sikkim,1065,766,809,0,32,124.47,27
24,Tamil Nadu,193200,187558,179896,16,7,258.8,7
25,Telangana,106830,106282,108991,3.7,12,295.7,6
26,Tripura,5499,4692,3933,0.1,24,102.4,31
27,Uttar Pradesh,240475,241920,282171,9.5,1,128.7,26
28,Uttarakhand,9156,10248,10867,0.4,22,101.8,32
29,West Bengal,185672,179501,176569,5.9,8,188.2,19
