State,Police website,2017,2018,Percentage Share of State/UT (2018),Mid-Year Projected Population (in Lakhs) (2018),Rate of Total Cyber Crimes (2018)++
A&N Islands,http://citizen.andaman.gov.in,931,1207,4.4,520.3,2.3
Andhra Pradesh,http://www.appolice.gov.in,1,7,0,14.9,0.5
Arunachal Pradesh,http://www.arunpol.gov.in,1120,2022,7.4,340.4,5.9
Assam,https://assampolice.assam.gov.in/citizen/login.aspx,433,374,1.4,1183.3,0.3
Chandigarh,http://citizenportal.chandigarhpolice.gov.in,171,139,0.5,284.7,0.5
Chhattisgarh,http://citizenportal.cgpolice.gov.in,13,29,0.1,15.3,1.9
DD,http://citizen.ddpolice.gov.in,458,702,2.6,673.2,1
DNH,http://citizen.dnhpolice.gov.in,504,418,1.5,284,1.5
Delhi,http://delhipolice.nic.in,56,69,0.3,72.7,0.9
Goa,https://citizen.goapolice.gov.in,63,73,0.3,134.3,0.5
Gujrat,https://police.gujarat.gov.in,720,930,3.4,370.5,2.5
Haryana,http://haryanapoliceonline.gov.in,3174,5839,21.4,654.5,8.9
Himachal Pradesh,http://hppolice.gov.in,320,340,1.2,350,1
Jammu & Kashmir,http://www.jkpolice.gov.in,490,740,2.7,814.7,0.9
Jharkhand,https://jofs.jhpolice.gov.in,3604,3511,12.9,1213.9,2.9
Karnataka,https://policeseva.ksp.gov.in,74,29,0.1,30.8,0.9
Kerela,http://thuna.keralapolice.gov.in,39,74,0.3,32,2.3
Lakshadweep,http://citizenportal.lakshadweeppolice.gov.in,10,6,0,11.8,0.5
Madhya Pradesh,http://citizen.mppolice.gov.in,0,2,0,21.3,0.1
Maharashtra,http://www.mhpolice.maharashtra.gov.in,824,843,3.1,435.5,1.9
Meghalaya,http://citizenportal.meghpol.nic.in,176,239,0.9,297,0.8
Mizoram,http://www.cctns.mizoram.gov.in,1304,1104,4.1,765.9,1.4
Nagaland,http://nagapol.gov.in,1,1,0,6.6,0.2
Odisha,https://citizenportal-op.gov.in,228,295,1.1,754.6,0.4
Puducherry,http://citizenportal.police.py.gov.in,1209,1205,4.4,370.3,3.3
Punjab,http://ppsaanjh.in,7,20,0.1,39.6,0.5
Sikkim,http://citizen.sikkimpolice.nic.in,4971,6280,23,2230,2.8
Tamil Nadu,http://tnpolice.gov.in,124,171,0.6,110.6,1.5
Telangana,https://www.tspolice.gov.in,568,335,1.2,965,0.3
Tripura,https://citizenportal.tripurapolice.nic.in,3,7,0,4,1.8
Uttar Pradesh,https://cctnsup.gov.in,32,30,0.1,11.7,2.6
Uttarakhand,http://policecitizenportal.uk.gov.in,1,0,0,5.3,0
West Bengal,http://policesohaiyota.policewb.gov.in,0,0,0,4,0
Bihar,http://biharpolice.bih.nic.in/,162,189,0.7,195.6,1
Manipur,http://www.manipurpolice.gov.in/?p=1819,0,4,0,0.7,6
Rajasthan,https://www.police.rajasthan.gov.in/,5,14,0.1,14.8,0.9
