Rank,State,Total,Urban,Rural
1,Gujarat,10,15,7
2,Karnataka,15,19,13
3,Chhattisgarh,19,68,11
4,Maharashtra,21,23,20
5,Telangana,28,62,13
6,Mizoram,30,49,15
7,Andhra Pradesh,39,44,38
8,Tamil Nadu,42,36,45
9,Madhya Pradesh,43,40,44
10,Haryana,47,57,43
11,Meghalaya,48,134,28
12,West Bengal,49,56,47
13,Odisha,50,47,51
14,Manipur,57,70,49
15,Bihar,60,74,59
15,Punjab,60,62,59
16,Goa,61,101,55
18,Uttarakhand,70,32,81
19,Rajasthan,71,43,77
20,Jammu and Kashmir,72,36,83
21,Uttar Pradesh,74,67,76
22,Jharkhand,77,94,73
23,Nagaland,85,141,69
24,Arunachal Pradesh,89,52,93
25,Assam,96,58,150
26,Himachal Pradesh,106,23,117
27,Kerala,125,126,125
28,Sikkim,181,168,184
29,Tripura,197,172,203
